id,ticker,periodType,periodEnd,sharesOutstanding,epsDiluted
078e9af5025a43d89e9ab7b84359201f,BRK.B,QUARTERLY,2020-06-30,2417640311.0000,10.8763
12d0ee6a42fe4f418e709739b6fffba8,BRK.B,QUARTERLY,2022-06-30,2205865262.0000,-19.7750
73048a9f2edb47fa8bfbfad2021f0d95,BRK.B,QUARTERLY,2024-09-30,2155058383.0000,12.1811
4530a373e56749dca7522be0199936a3,BRK.B,QUARTERLY,2023-09-30,2170387690.0000,-5.8824
b312062318a24913b6ce3450fb470b73,BRK.B,QUARTERLY,2018-09-30,1360940890.0000,13.6229
f9a5b83e6e3d4180961117ac119d729d,BRK.B,QUARTERLY,2019-03-31,2459731886.0000,8.8062
ce28fb3be297423f926de5d7441644da,BRK.B,QUARTERLY,2018-06-30,2467585853.0000,4.8675
6ea75749763b487e84d770ed1318d58e,BRK.B,QUARTERLY,2020-03-31,2434333367.0000,-20.4352
610d65b24c474c518c0916d3d3774764,BRK.B,QUARTERLY,2022-09-30,2200419462.0000,-1.2716
64ab1710f2634ea6b8a6214c1b9cdce7,BRK.B,QUARTERLY,2020-09-30,2380046304.0000,12.6624
d8a1947db4c84d399a4258f9a7031875,BRK.B,QUARTERLY,2023-06-30,2174313670.0000,16.5165
fd6fc4e96cbe47e8b1283416ca493988,BRK.B,ANNUAL,2023-12-31,2173319709.0000,44.2747
1bb2e736c4524351bb4dcaf3013fa11f,BRK.B,QUARTERLY,2024-03-31,2159055134.0000,5.8831
da0d8d991c1841e4b6e6f550d9e72b39,BRK.B,QUARTERLY,2024-06-30,2155185283.0000,14.0814
a305b5a2aad341799910c9ff1feeb048,BRK.B,ANNUAL,2025-12-31,2157335139.0000,31.0420
a092b580d8bd457e9be3e045db6b7e3b,BRK.B,QUARTERLY,2017-03-31,1644425.0000,2468.9481
2ffa9945b1ae45168a0b0337053fbcdc,BRK.B,QUARTERLY,2018-03-31,2467436888.0000,-0.4612
9630912be9e6448a8d2b6ce793ce14e5,BRK.B,QUARTERLY,2021-09-30,2254518838.0000,4.5881
57fa8e4a564949de86390626c6f69461,BRK.B,QUARTERLY,2016-09-30,1643913.0000,4378.5772
a8050cb948064919afdba73440fff484,BRK.B,QUARTERLY,2016-12-31,,
549cadf5116e4ffc8e74e3c9c51cc1e3,BRK.B,QUARTERLY,2017-12-31,,
e3519dcbd7cf418785555442361ecd83,BRK.B,QUARTERLY,2018-12-31,,
4a610928f6314ae482853ec9b78efb63,BRK.B,QUARTERLY,2019-12-31,,
29da2cd07f4947ff876fa98399d05d7e,BRK.B,QUARTERLY,2020-12-31,,
d262f7013d544f65b807b05b33ae0222,BRK.B,QUARTERLY,2021-12-31,,
a47740ade2ea47ed9ccfb97adb797b8d,BRK.B,QUARTERLY,2022-12-31,,
ced54fc69e544211994f76bf6468d995,BRK.B,QUARTERLY,2023-12-31,,
dafbcfb628ea4f0981fd49059d0e7924,BRK.B,QUARTERLY,2024-12-31,,
793fde47a6dc4d5f95f066eccf1389ec,BRK.B,QUARTERLY,2025-12-31,,
13768680b07b4a1a812f7a63a6ea22f0,BRK.B,QUARTERLY,2016-03-31,1643487.0000,3400.6962
81b582c4e9604461b8c0dfb2ee617742,BRK.B,QUARTERLY,2016-06-30,1643745.0000,3042.4427
51659e2d18304169a2fa81d6417d70af,BRK.B,ANNUAL,2016-12-31,1643826.0000,14645.1023
d9eb9fdbc6a64c0aba919ce4ffeeb017,BRK.B,QUARTERLY,2017-06-30,1644580.0000,2591.5431
5163aeaf11254ef89573a737c581c8ff,BRK.B,ANNUAL,2017-12-31,2466923163.0000,18.2170
b57831a176424916a4926214d6b39365,BRK.B,QUARTERLY,2017-09-30,1644656.0000,2472.8575
e7e8e6e74010452e8dbd30d5fd309dfa,BRK.B,QUARTERLY,2019-06-30,2452442401.0000,5.7384
95b7c470ec8244bf9cdd6b9b7f9fa60d,BRK.B,QUARTERLY,2019-09-30,2449502430.0000,6.7459
b22d8c091ea048d995c4e247b47b5833,BRK.B,ANNUAL,2018-12-31,2465692368.0000,1.6308
1ed20772e5f6478db3de1c552a274ac1,BRK.B,ANNUAL,2019-12-31,2450919020.0000,33.2190
3167101a499549c28ccadbd54b8febf8,BRK.B,ANNUAL,2020-12-31,2391703454.0000,17.7785
8a64c0c0f4e74caaacef23b52e6ce0d9,BRK.B,QUARTERLY,2021-03-31,2299925502.0000,5.0919
ea30e3bb8c69479d8041d827dd954ae7,BRK.B,QUARTERLY,2021-06-30,2279363382.0000,12.3254
b23ad56ec79e480bb27c481363cc2cba,BRK.B,ANNUAL,2021-12-31,2265269867.0000,39.7026
331b8be2744f40d19432977f04b2684c,BRK.B,QUARTERLY,2022-03-31,2212054009.0000,2.5225
5e1b2df1a4bf49a4b1c7bcce9252c441,BRK.B,ANNUAL,2022-12-31,2203313642.0000,-10.3294
438d47fd0c2041439a2bb6313edf4334,BRK.B,QUARTERLY,2023-03-31,2184657109.0000,16.2515
90d3118e2bd14f5e975bf3ecf78fe7e8,BRK.B,ANNUAL,2024-12-31,2156580296.0000,41.2667
dcf8decdd74a472195d2aa5a0046aa4b,BRK.B,QUARTERLY,2025-03-31,2157335139.0000,2.1337
0eed270023584491b2a4adf46077656c,BRK.B,QUARTERLY,2025-06-30,2157335139.0000,5.7339
cddd74cd898e48afa8c121e7e474e794,BRK.B,QUARTERLY,2025-09-30,2157335139.0000,14.2750
0c313889102542e2a6c140d2b91dc923,BRK.B,QUARTERLY,2026-03-31,2157185889.0000,4.6848
