id,ticker,fiscalYear,fiscalQuarter,revenue,costOfRevenue,grossProfit,grossMargin
dfaeb7754eb845c8b1a2c6846f1ff9c0,AMP,2020,1,3001000000.0000,-1747000000.0000,3001000000.0000,1.000000
420d743bb9eb4f40ac47c5ad87b84196,C,2020,4,16832000000.0000,-46000000.0000,16832000000.0000,1.000000
2401126ee580490e9077d2c84b6762ee,ELV,2017,4,22682000000.0000,-53564000000.0000,22682000000.0000,1.000000
29c927093dce44bba2e84afeaaf62543,EBAY,2019,4,1643000000.0000,-37000000.0000,1643000000.0000,1.000000
1cc94ff701234120979b8a7c6e7cd5a5,ELV,2018,4,23373000000.0000,-17046000000.0000,23373000000.0000,1.000000
6804121b8edf4a099d6010ed4380a425,APP,2024,4,619742000.0000,-16213000.0000,619742000.0000,1.000000
dbc45d540c39458d8eac5bda926b9624,DOC,2018,4,441919000.0000,-148968000.0000,441919000.0000,1.000000
3583cd152da344e7a6239fe6f49d2239,INTU,2016,4,754000000.0000,-450000000.0000,754000000.0000,1.000000
532679b4898d439a9f19a232ae4bf346,ESS,2019,4,375365000.0000,-26071000.0000,375365000.0000,1.000000
723719b1a4f64a9fbe5ab0e238196bfa,EW,2022,4,429900000.0000,-98800000.0000,429900000.0000,1.000000
06c061ea7d0b4f90baf23fc1e6a0d695,SLB,2016,4,7107000000.0000,-2472000000.0000,7107000000.0000,1.000000
444ea07813fe44d3b9e48c6ab3b0bfd9,OXY,2018,4,2750000000.0000,-604000000.0000,2750000000.0000,1.000000
3f271f648e49493493d1a29c2467e635,AMP,2021,3,2899000000.0000,-986000000.0000,2899000000.0000,1.000000
56afe6579719488096af38ab67ed532d,FE,2018,4,2710000000.0000,-1122000000.0000,2710000000.0000,1.000000
31ce44b97a2d4ce08a63c9ad9157f046,FDX,2020,4,17358000000.0000,-2641000000.0000,17358000000.0000,1.000000
ab1c443a75eb481fa843abecd1358ff2,AMP,2021,,13377000000.0000,-156000000.0000,13377000000.0000,1.000000
515f29352a154c1f9ae9d6a633bfe7bc,AMP,2022,2,3486000000.0000,-196000000.0000,3486000000.0000,1.000000
e0a04b08aaa748f0b8f263bbdf36f868,ROP,2020,4,751500000.0000,-149400000.0000,751500000.0000,1.000000
fc422f2cf39045afba7b24899e0ef88d,FTV,2024,4,550700000.0000,-144800000.0000,695500000.0000,1.262938
9af9112655704b3ca798e77f184abb5b,KKR,2022,2,323393000.0000,-256179000.0000,323393000.0000,1.000000
127d8692f49b4eae8e5395a81ae8580b,HPE,2017,4,7660000000.0000,-2079000000.0000,7660000000.0000,1.000000
10f77ce929344c9099071e7ddd8582fb,DOC,2019,4,556230000.0000,-225745000.0000,556230000.0000,1.000000
