id,ticker,fiscalYear,fiscalQuarter,dividendPerShare
a1bafa80ab004e7a8592d0c9667a6fb9,MCHP,2020,4,-0.3650
c0540fc638d74f5db733d552687ef2b1,TPL,2025,4,-1.6000
e9b152747ee74d069b0417665108872a,HPQ,2018,4,-0.0400
9c92a54163364de087f632dbdb409c60,RL,2021,4,-0.6875
bb8289be3ae44eda9499e6d89cd88c28,TJX,2018,4,-0.1513
184bced7fefe4df0a7692638508dea23,TJX,2021,4,-0.4300
f1d75bac11234b8389a31d27952e9a90,ETR,2022,4,-0.9800
6e05c3b9d5364de6a93cd8d5aead7bfb,ETR,2023,4,-1.0400
cdf9ad06caeb4bc890e6bf18d5747c58,BF.B,2016,4,-0.1310
0886e4fba2d84cf790c7539c429916be,VST,2019,4,-0.2500
251f721e99b0456880aaa207a9d46d9a,TECH,2022,4,-0.4000
fc209b9cdc7541a5ba624032b758952e,NI,2022,4,-0.0100
16e96199b5a24fde9085fe28b5ee4ae8,J,2019,4,-0.2600
843d9f5a4ceb4a43a97533d66d041e97,J,2018,4,-0.2600
c9a9d0391c674f06a4cdeeda62fcd40a,LDOS,2016,4,-13.3200
fcc6d07008dd42c7b11b53c86d45117e,AVGO,2023,4,-7.8200
7ffd6787b9914b43b3991afa6e59265d,ROK,2018,4,-3.5100
bcac130c85c64a3c86e2a49346b80169,TECH,2023,4,-0.1600
780dbadd3a9b457db30ebde536de8495,GPN,2018,4,-0.0200
9fe19dc16395457e96e3ba134b9810cd,AVGO,2022,4,-10.6600
5cba3788ce184c53a1dca0eb52c45000,HPQ,2019,4,-0.5300
2666a3e0071a4bedba05887f7f6c9e4a,MOS,2019,4,-0.1000
eaa4c9b2aa6e47b2ab4bd7a3095ae0c2,TECH,2021,4,-1.2800
6b91e6fce7ea47b2a8ad196320552dcd,TJX,2017,4,-0.2600
490a45ea99fa486ca479918fc970a0f4,WSM,2022,4,-0.7800
