id,ticker,fiscalYear,revenue,netIncome,epsDiluted
d40662af6f504220bc51f19475540559,DSY,2015,3091335221.2569,437887941.3808,0.3413
2d3f3986119544a1b3bdc135f507c252,DSY,2016,3220910511.2017,471428861.3607,0.3663
227b36b2e65c4487b5701a9802dc42ac,DSY,2017,3871347012.7904,622971820.6547,0.4824
6b2f9d0c0e36425f9dcb899f0011a02a,DSY,2018,3981647799.8654,651914214.9825,0.5000
296e85c7f52448eab4cef76d4669e92c,DSY,2019,4514057790.3574,691286245.7494,0.5253
9863fa6becfd4d758d3a64524e095344,DSY,2020,5463298604.7534,602458863.5556,0.4561
08b93d326e4c4b6498841a693bbba611,DSY,2021,5504539517.2876,876260532.1750,0.6578
35704fbdc8b84987bce65762cd85a964,DSY,2022,6042639452.7789,993579303.5902,0.7456
5904d681f68d452fb0b126f9377e2afe,DSY,2023,6576276156.8350,1161188384.2965,0.8686
374cdda98b714e0dbcd891183a8d7859,DSY,2024,6455279661.4210,1246866356.9195,0.9351
78da2b4d10f4404e95d1bdaf8f63af01,DSY,2025,7327091113.2144,1405165619.9650,1.0577
428eb765fa6b44bc9566c9669fb9484f,DSY,2015,2911935519.4047,362425064.6461,0.1488
b1c60baee5964f9b8acff09379f45136,DSY,2015,3091335221.2569,487039269.8293,0.1963
cebbcd36967c443d925bf4cf03b6ace1,DSY,2016,3239127442.0363,428423976.7571,0.1650
3afc72c278154f7a96ef9b1630dbbf56,DSY,2016,3220910511.2017,512224434.8589,0.2097
47f3035f44a74aa393eadc4431d42896,DSY,2017,3624937999.5896,481381293.7735,0.1846
fc525406b09647e7b304eb63772234e7,DSY,2017,3871347012.7904,725480817.5761,0.2878
f277f6f018044d889c96527bea5c46db,DSY,2018,3856668773.5053,621817420.8842,0.2381
ebe703eba54841d18230907d96b2ed6f,DSY,2018,3981647799.8654,660764744.8506,0.2661
99f3098697e74727bd945f0abce68863,DSY,2019,4268972042.7841,655739152.5722,0.2574
547fa78bb80f4c57b9fa1bfcb112c84e,DSY,2019,4514028443.4906,689476556.1554,0.2711
051162166af24be2a8cc22f53e1f55da,DSY,2020,4816474917.5780,427128948.1416,0.1665
75826ed3f9b148319dd73e30322a4528,DSY,2020,5463303761.7737,717989973.6515,0.2732
9e8e799da0f64d39a9efe82b8ec2a271,DSY,2021,5445955037.8260,833063396.1214,0.3205
dabb78aa838b4dd58e74b6ac430218b1,DSY,2021,5504546808.6134,907785815.6198,0.3520
60939e3853f44829be03f0c2f92b8435,DSY,2022,5437489122.6381,779518780.9297,0.3045
05f9dc4d510b4d99b093b756edda354a,DSY,2022,6042638942.4447,1110196850.4623,0.4321
bceace2f01f543aa9187564c318c807c,DSY,2023,6345877771.4903,1050972986.9792,0.3907
8847e12b2c71443cacca2c1757717e28,DSY,2023,6576322550.7093,1229076292.3186,0.4708
9bf04b21786d46fdb0054d7ad25ab4dd,DSY,2024,6491011077.6754,1188559870.8589,0.4419
059c8e23150a45908a7f1b8a13657073,DSY,2024,6455271002.0627,1307104477.1546,0.5059
af9b24a5ada14fbdb119475d0ea5fcd1,DSY,2025,7398659728.2764,1157199445.9983,0.4279
8e33857fc149473ca41e5a9d289b8591,DSY,2025,9126070401.9451,1718502618.8787,0.2432
f31b2795d2f34dc09217515cb236664b,DSY,2025,9042672773.5433,2049422129.6313,0.6284
8be6b3c50ed44e88bfdee2539bc68233,DSY,2026,10584093711.9433,2050884125.2473,0.2525
28586c3ba3244880b36c346495ea0049,DSY,2026,10454361581.1545,2086982405.3756,0.5257
