id,revenue,netIncome,operatingCashFlow,capex,freeCashFlow,totalAssets,totalLiabilities,totalEquity,netMargin
b6ac8970d0624fd4956ec5dc3b91f5ef,23154000000.0000,1969000000.0000,1042000000.0000,448000000.0000,594000000.0000,44502000000.0000,,5622000000.0000,0.085039
56005bd9ad944e5c8cd553ac7a2e553b,39704000000.0000,2997000000.0000,4671000000.0000,1101000000.0000,3570000000.0000,96119000000.0000,,6640000000.0000,0.075484
daf69cf81ace423189d9b9ca4e224f70,2601855000.0000,-147887000.0000,686010000.0000,76119000.0000,609891000.0000,8496886000.0000,,1098981000.0000,-0.056839
e7c8e3cf3ff24826ac7147bad6cf759f,3884000000.0000,560000000.0000,605000000.0000,71000000.0000,534000000.0000,12883000000.0000,13093000000.0000,-552000000.0000,0.144181
4d0c021ccc4549ad8e9c25c25acb0375,5390000000.0000,630700000.0000,984000000.0000,19200000.0000,964800000.0000,17973900000.0000,6646800000.0000,11048000000.0000,0.117013
fd81bfd807074366ac3dfda0f0dcce45,161638000.0000,-111616000.0000,70326000.0000,203560000.0000,-133234000.0000,9144830000.0000,4777353000.0000,4021709000.0000,-0.690531
f3471a9ba2814e9889ff417bd1249e1c,30330000000.0000,4522000000.0000,28913000000.0000,0.0000,28913000000.0000,958500000000.0000,905429000000.0000,53060000000.0000,0.149093
1c36cae41cbd41a7bf9ad8276eac5178,5686000000.0000,482000000.0000,1292000000.0000,45000000.0000,1247000000.0000,76290000000.0000,58428000000.0000,17862000000.0000,0.084770
c1635d96efdf4f5a9e4579109d5d5a0a,3205103000.0000,669468000.0000,1384098000.0000,206512000.0000,1177586000.0000,7091941000.0000,2859860000.0000,4232081000.0000,0.208876
24058bdfb6394bd0a58aaf739ad50437,3513800000.0000,338200000.0000,930500000.0000,0.0000,930500000.0000,228014300000.0000,217623000000.0000,10227300000.0000,0.096249
024cbd47d87d47e3ba82a8a567930eca,4169000000.0000,378000000.0000,225000000.0000,41000000.0000,184000000.0000,225388000000.0000,208379000000.0000,17009000000.0000,0.090669
55e7c30a819b464b9b08860752f446c8,1468700000.0000,545300000.0000,22000000.0000,55700000.0000,-33700000.0000,9330400000.0000,1107300000.0000,7102100000.0000,0.371281
bb0e8c335226484298ffe8ade0d711cc,,304100000.0000,72500000.0000,35200000.0000,37300000.0000,6203900000.0000,615000000.0000,4763800000.0000,
57105d17453a410a9dd4ccddf9018e87,36881000000.0000,1768000000.0000,2716000000.0000,695000000.0000,2021000000.0000,22373000000.0000,,9608000000.0000,0.047938
bb4226ff65ab43be91c200694f7ead29,43185000000.0000,2061000000.0000,3874000000.0000,1199000000.0000,2675000000.0000,34456000000.0000,,15254000000.0000,0.047725
cb73aa34aafc4eacabbb30be3066481c,9152000000.0000,461000000.0000,1095000000.0000,188000000.0000,907000000.0000,23290000000.0000,,9762000000.0000,0.050372
32f5926eefeb4bc7b9231d90fd2aeed2,2771838000.0000,119811000.0000,1046264000.0000,206980000.0000,839284000.0000,5607038000.0000,2458239000.0000,3148799000.0000,0.043224
5b4af2d0bdc94b1d8c8eed279a749a2c,12168000000.0000,1169000000.0000,2649000000.0000,149000000.0000,2500000000.0000,42268000000.0000,30596000000.0000,11672000000.0000,0.096072
46f3c88e48574b8c98a0b4866fedc677,3711900000.0000,764244000.0000,888503000.0000,40146000.0000,848357000.0000,45373094000.0000,24294214000.0000,8352339000.0000,0.205890
0cf4ffe43be54b2591d417936157d930,3080000000.0000,275000000.0000,916000000.0000,5000000.0000,911000000.0000,45496000000.0000,33071000000.0000,12425000000.0000,0.089286
b55239ab3ce147bfb08e5481b982a501,15814000000.0000,1462000000.0000,3409000000.0000,1000000.0000,3408000000.0000,54066000000.0000,41763000000.0000,12303000000.0000,0.092450
3818b94e828b47d0abdf838fa678bb6d,,203300000.0000,-86700000.0000,44000000.0000,-130700000.0000,6581700000.0000,610400000.0000,4860900000.0000,
1eef315c4a3b42f088a28d7c2e1f6f13,4260000000.0000,703000000.0000,627000000.0000,130000000.0000,497000000.0000,15999000000.0000,15137000000.0000,464000000.0000,0.165023
aa022363568b469f816250f8eccfa069,4414000000.0000,634000000.0000,994000000.0000,137000000.0000,857000000.0000,15880000000.0000,14853000000.0000,591000000.0000,0.143634
d7804714076a4b78a896d2d0c674e1d0,,327800000.0000,282400000.0000,33300000.0000,249100000.0000,6723500000.0000,775900000.0000,4833700000.0000,
1e3932d651d54f6e9ef1b35cd7faf447,4399000000.0000,559000000.0000,386000000.0000,122000000.0000,264000000.0000,15723000000.0000,14995000000.0000,321000000.0000,0.127074
ab887b4b091f4aeabbbe33631528091c,3617595000.0000,649729000.0000,991046000.0000,33409000.0000,957637000.0000,48326982000.0000,26910271000.0000,8370770000.0000,0.179602
ee5d3980cfa4413aa2b5e46477442ce2,9170000000.0000,432000000.0000,10000000.0000,167000000.0000,-157000000.0000,22511000000.0000,,9791000000.0000,0.047110
46ec7e12cdab48e79f071a1ffae95552,9403000000.0000,484000000.0000,768000000.0000,160000000.0000,608000000.0000,22410000000.0000,,9791000000.0000,0.051473
374a5bf35b3141d9a9e3ab5d700b7e36,1446900000.0000,-165700000.0000,194800000.0000,36900000.0000,157900000.0000,22038700000.0000,,15465000000.0000,-0.114521
622e17009d6e49dda0adeaf40c559516,4484000000.0000,603000000.0000,528000000.0000,178000000.0000,350000000.0000,15711000000.0000,15153000000.0000,168000000.0000,0.134478
6a9a742854f74bb7819beb75bf63f324,4455000000.0000,618000000.0000,969000000.0000,175000000.0000,794000000.0000,16288000000.0000,15235000000.0000,622000000.0000,0.138721
3d45d173fc53499da8ed40e17eaf7480,261016000.0000,82403000.0000,153104000.0000,4787000.0000,148317000.0000,7091446000.0000,4495280000.0000,2244892000.0000,0.315701
b07cee78b1d5492f8f45a175f71caaa1,4770000000.0000,372000000.0000,735000000.0000,163000000.0000,572000000.0000,16173000000.0000,15748000000.0000,-6000000.0000,0.077987
4d01fac1f646469c8f1f722501accf93,9156000000.0000,391000000.0000,843000000.0000,180000000.0000,663000000.0000,22373000000.0000,,9608000000.0000,0.042704
8ea435856014486c8eb7ef00c25bc3c7,9850000000.0000,447000000.0000,467000000.0000,315000000.0000,152000000.0000,28063000000.0000,,10117000000.0000,0.045381
d19f2de1a5e74eb9a7942d49acb6303b,4551300000.0000,288900000.0000,1589100000.0000,0.0000,1589100000.0000,246903900000.0000,233691600000.0000,12907500000.0000,0.063476
41d70495dfcf4e9eb5e68298ed004f2d,3114600000.0000,398300000.0000,457000000.0000,0.0000,457000000.0000,271309400000.0000,255725700000.0000,15243100000.0000,0.127882
cb074d451e1e4e95bccb61077d1ace91,20889000000.0000,3616000000.0000,4985000000.0000,996000000.0000,3989000000.0000,125231000000.0000,72946000000.0000,52284000000.0000,0.173105
d74b263318074ceabe81d5936954c968,17698000000.0000,2800000000.0000,4806000000.0000,658000000.0000,4148000000.0000,120700000000.0000,73822000000.0000,46878000000.0000,0.158210
7af8b619110b436cb34425e8891e8d26,18946000000.0000,2906000000.0000,4121000000.0000,714000000.0000,3407000000.0000,119307000000.0000,72653000000.0000,46654000000.0000,0.153383
f352e920adac492ebd738916593b0483,4915000000.0000,708000000.0000,1152000000.0000,161000000.0000,991000000.0000,16043000000.0000,15637000000.0000,-9000000.0000,0.144049
2178b7ef15b040e3a06a9a42758889ae,5065000000.0000,683000000.0000,681000000.0000,126000000.0000,555000000.0000,16571000000.0000,15954000000.0000,230000000.0000,0.134847
5fb3618743bb40c4933dfba3d78450a6,16503000000.0000,1891000000.0000,4199000000.0000,907000000.0000,3292000000.0000,118310000000.0000,65427000000.0000,52883000000.0000,0.114585
b8dd8cd2c4974423896e6e830078a89a,5141000000.0000,247000000.0000,906000000.0000,,,55108000000.0000,42785000000.0000,12323000000.0000,0.048045
4558b0b65100408eaa7242f6d62f3f3b,7826336000.0000,2942000.0000,598739000.0000,173827000.0000,424912000.0000,6764266000.0000,,1126016000.0000,0.000376
2d810f0ee16d4f3f9472b51ec3af14d4,5058000000.0000,731000000.0000,990000000.0000,117000000.0000,873000000.0000,16480000000.0000,15998000000.0000,123000000.0000,0.144524
4dff56fffbd147dca3731e41fa4a8498,3394000000.0000,419000000.0000,845000000.0000,0.0000,845000000.0000,44755000000.0000,33705000000.0000,11050000000.0000,0.123453
e58607301532412ea9d3e321f659f72c,3208500000.0000,517100000.0000,140800000.0000,0.0000,140800000.0000,295634600000.0000,279908800000.0000,15405500000.0000,0.161166
f8c8547e73844f27b146abec543f3278,4789000000.0000,582000000.0000,558000000.0000,20000000.0000,538000000.0000,60775000000.0000,48229000000.0000,12546000000.0000,0.121529
975e236b03134c8a8d655bd1b9aa02c1,3423700000.0000,359900000.0000,973400000.0000,0.0000,973400000.0000,298908400000.0000,282435900000.0000,16070700000.0000,0.105120
b984d20067a746abba9d86f2264a45ff,4256200000.0000,341400000.0000,1147400000.0000,0.0000,1147400000.0000,304657200000.0000,288198900000.0000,16069400000.0000,0.080212
c3f6eae2ab4a47bab8c9203a41248c44,4598700000.0000,1246200000.0000,1050600000.0000,0.0000,1050600000.0000,287948000000.0000,276965600000.0000,10671600000.0000,0.270990
cb91b80223d64317a34a1e5a03c7b469,13665800000.0000,623200000.0000,3792400000.0000,0.0000,3792400000.0000,305046700000.0000,293836100000.0000,10916000000.0000,0.045603
c5e103b4d82d4ec89d9804fb2621fb1b,10145000000.0000,394000000.0000,1150000000.0000,287000000.0000,863000000.0000,28066000000.0000,,10541000000.0000,0.038837
505e91c8bddb48108f0fa4e745e0ea07,40052000000.0000,2970000000.0000,2963000000.0000,1200000000.0000,1763000000.0000,28987000000.0000,,12803000000.0000,0.074154
938553cb990f4747b3aba3b8849eba4e,4290737000.0000,-232580000.0000,906690000.0000,141219000.0000,765471000.0000,16460841000.0000,,-367569000.0000,-0.054205
c0f2cd2772d34db2a85af9b8eff712c1,5033000000.0000,737000000.0000,1167000000.0000,134000000.0000,1033000000.0000,16774000000.0000,15938000000.0000,435000000.0000,0.146434
f424ae99f6b248edb6a67a36bb00837a,2179258000.0000,37741000.0000,-6423000.0000,48199000.0000,-54622000.0000,7043426000.0000,,1188507000.0000,0.017318
5cc5fe58251e482fb5f410853f818729,4911000000.0000,690000000.0000,600000000.0000,124000000.0000,476000000.0000,16647000000.0000,15914000000.0000,363000000.0000,0.140501
96c155dca4f24037851ee1df0210aa8b,16915000000.0000,3206000000.0000,4480000000.0000,691000000.0000,3789000000.0000,129143000000.0000,66841000000.0000,62302000000.0000,0.189536
1e206106b8d64e68a89a16085420b71e,2683585000.0000,81478000.0000,42972000.0000,69726000.0000,-26754000.0000,8251426000.0000,,1226639000.0000,0.030362
6766232eb8e042eb8292a02330955d74,4310800000.0000,353100000.0000,1431700000.0000,0.0000,1431700000.0000,308777300000.0000,297440900000.0000,11013400000.0000,0.081911
3ae6f56ba57941fa9c0d91a0d369cc00,16127700000.0000,1571000000.0000,4602900000.0000,0.0000,4602900000.0000,313663600000.0000,302194600000.0000,11086400000.0000,0.097410
97eb788c0ab6437b9617107683ed7054,2053000000.0000,407000000.0000,446000000.0000,102000000.0000,344000000.0000,11046000000.0000,6004000000.0000,5042000000.0000,0.198246
942c820706c34d4290f327c194f7c81c,2344392000.0000,303381000.0000,386392000.0000,149511000.0000,236881000.0000,1657541000.0000,297568000.0000,1359973000.0000,0.129407
8d80d6d050804b52ad476edcb929df20,5068000000.0000,468000000.0000,969000000.0000,28000000.0000,941000000.0000,70990000000.0000,53918000000.0000,17072000000.0000,0.092344
365883824cc74cada2ac8c7c9aeb97ef,5171000000.0000,459000000.0000,1388000000.0000,27000000.0000,1361000000.0000,72319000000.0000,54517000000.0000,17802000000.0000,0.088764
0ac5ab87f23d4acaae7e041dca451ae4,1482384000.0000,-33906000.0000,775498000.0000,45125000.0000,730373000.0000,9117548000.0000,,1137671000.0000,-0.022873
5b99f0df51df46f5a24a5ecacd86c2a0,2868315000.0000,69359000.0000,-255672000.0000,55516000.0000,-311188000.0000,8952809000.0000,,1163049000.0000,0.024181
6f4cbcf7d3ad4c7d9a298acfe1d5e6a8,3011600000.0000,-220000000.0000,1128000000.0000,0.0000,1128000000.0000,322857700000.0000,311264500000.0000,11237400000.0000,-0.073051
b44d77d5ec2d4e598b70f92561a1b233,15755000000.0000,2750000000.0000,3278000000.0000,800000000.0000,2478000000.0000,127508000000.0000,67655000000.0000,59853000000.0000,0.174548
163bea252c2f42a08ecd84335a7f0179,4752000000.0000,905400000.0000,1459000000.0000,0.0000,1459000000.0000,313663600000.0000,302194600000.0000,11086400000.0000,0.190530
a651d20fd466496abfbb82756627cd23,3695900000.0000,48100000.0000,977300000.0000,0.0000,977300000.0000,313003300000.0000,301408300000.0000,11216800000.0000,0.013014
7c8c50eb3e75492ebc153623d1616f01,16518000000.0000,2714000000.0000,3025000000.0000,684000000.0000,2341000000.0000,129043000000.0000,70092000000.0000,58951000000.0000,0.164306
a028436290d24438a6220dd1fb74c4bc,4248000000.0000,858000000.0000,1327000000.0000,0.0000,1327000000.0000,42144000000.0000,23476000000.0000,10174000000.0000,0.201977
45bc4f24df5e415da551704e560612bf,10229000000.0000,1631000000.0000,1126000000.0000,296000000.0000,830000000.0000,28046000000.0000,,11955000000.0000,0.159449
5e4015fdad0c4ca6a6d0e500d35c26b1,32261000000.0000,2857000000.0000,1424000000.0000,960000000.0000,464000000.0000,70581000000.0000,,3299000000.0000,0.088559
3ec2803ae47b42a1a791e124fc325d34,5146299000.0000,1039014000.0000,-88591000.0000,21826000.0000,-110417000.0000,26403337000.0000,13888404000.0000,,0.201895
e5a1c1097ed142f08e31aa60f1f98c23,100904000000.0000,8630000000.0000,12031000000.0000,1897000000.0000,10134000000.0000,44529000000.0000,,1454000000.0000,0.085527
cc0297886d0243f28e747d2cdb522ec7,5816000000.0000,735000000.0000,1204000000.0000,41000000.0000,1163000000.0000,76578000000.0000,58735000000.0000,17805000000.0000,0.126376
af7e2785e76345a3bbac5e9326f0e57a,108203000000.0000,11121000000.0000,13165000000.0000,2442000000.0000,10723000000.0000,44003000000.0000,,-1878000000.0000,0.102779
e59d5dd9ab044a9499a756240c08fcce,3440308000.0000,136393000.0000,-386475000.0000,55892000.0000,-442367000.0000,7810524000.0000,,1378974000.0000,0.039646
d362f11e700644d3b3df726d50e04786,3835246000.0000,172683000.0000,-264250000.0000,63073000.0000,-327323000.0000,8511699000.0000,,1317389000.0000,0.045025
78d7b30a3ab945d3b1c4e98b8f5b0509,1727828000.0000,-52444000.0000,469050000.0000,57136000.0000,411914000.0000,10302533000.0000,,1043208000.0000,-0.030353
add7014e5b0c4041a19c95a5d39ac4cb,11423000000.0000,1368000000.0000,3697000000.0000,37000000.0000,3660000000.0000,45496000000.0000,33071000000.0000,12425000000.0000,0.119758
ed88cea6db2941db8812f498a50e9411,3157009000.0000,103355000.0000,-175727000.0000,78804000.0000,-254531000.0000,10529387000.0000,,1174143000.0000,0.032738
a28e70dd3cce422ba41ca90730833028,3773684000.0000,178925000.0000,-260401000.0000,89882000.0000,-350283000.0000,9967133000.0000,,1287273000.0000,0.047414
967037721e2946d0922d974f455d526e,9687222000.0000,-6015000.0000,623522000.0000,238435000.0000,385087000.0000,7504263000.0000,,1181196000.0000,-0.000621
5df16a98113d4c6bb5d329f11b7a6ffa,5762657000.0000,1398478000.0000,-813947000.0000,19860000.0000,-833807000.0000,41196408000.0000,19490362000.0000,9422893000.0000,0.242679
cd780381f0ac4e69bdea2aa1907961e5,2819000000.0000,-140100000.0000,695300000.0000,0.0000,695300000.0000,299408200000.0000,288874700000.0000,10217900000.0000,-0.049698
87eb1425b0c448128f3389bf3ca32860,1030300000.0000,96400000.0000,8000000.0000,69500000.0000,-61500000.0000,4554400000.0000,,2473500000.0000,0.093565
3cc5d37ab9ad4392a787ec3be642ee74,1861000000.0000,155000000.0000,351000000.0000,128000000.0000,223000000.0000,10100000000.0000,5472000000.0000,4628000000.0000,0.083289
db08a9a5bbe049d89b24ceebab37573c,3581000000.0000,397000000.0000,1057000000.0000,2000000.0000,1055000000.0000,46699000000.0000,34147000000.0000,12552000000.0000,0.110863
4330fd8cde244c5e91c66b2eb5693ffd,10787800000.0000,60249000.0000,941586000.0000,239833000.0000,701753000.0000,8496886000.0000,,1098981000.0000,0.005585
7b02a59e62d04f1c9d8cfbd3356ae890,11547969000.0000,69889000.0000,469783000.0000,323566000.0000,146217000.0000,10975615000.0000,,1145820000.0000,0.006052
a95b53b693834bd2800d60962c44cc2d,2928000000.0000,338000000.0000,491000000.0000,78000000.0000,413000000.0000,29462000000.0000,20332000000.0000,9130000000.0000,0.115437
6383d48df78941d3b808499d7cd7758a,10630000000.0000,868000000.0000,2084000000.0000,239000000.0000,1845000000.0000,32041000000.0000,23030000000.0000,9011000000.0000,0.081656
afff1fdd503040ba82409ef23f0ec237,2874000000.0000,131000000.0000,317000000.0000,40000000.0000,277000000.0000,32041000000.0000,23030000000.0000,9011000000.0000,0.045581
c8329396de414624812b6051e08b5add,3236000000.0000,400000000.0000,787000000.0000,112000000.0000,675000000.0000,32149000000.0000,22955000000.0000,9194000000.0000,0.123609
e1c1c82556864bbdb3d71936889c070b,2855000000.0000,177000000.0000,396000000.0000,63000000.0000,333000000.0000,32582000000.0000,23494000000.0000,9088000000.0000,0.061996
ab6407b100114c14bcae52a7380651c8,3245000000.0000,270000000.0000,367000000.0000,19000000.0000,348000000.0000,33071000000.0000,23698000000.0000,9373000000.0000,0.083205
3798816a3e7a4570b4d06ef01d93ba11,12607000000.0000,1134000000.0000,2117000000.0000,299000000.0000,1818000000.0000,33767000000.0000,24255000000.0000,9512000000.0000,0.089950
f3f40616812b44c89fd58a049af91bda,3271000000.0000,287000000.0000,567000000.0000,105000000.0000,462000000.0000,33767000000.0000,24255000000.0000,9512000000.0000,0.087741
478c223045c54815a37c768ffe947c90,3753000000.0000,361000000.0000,838000000.0000,64000000.0000,774000000.0000,33841000000.0000,23953000000.0000,9888000000.0000,0.096190
7486f3021ef64cc2943ea97f863105dc,2888000000.0000,182000000.0000,615000000.0000,16000000.0000,599000000.0000,36851000000.0000,26455000000.0000,10396000000.0000,0.063019
fa0fdc136e6340b18ed2a1e5ad85df72,74084000.0000,-567517000.0000,-1022035000.0000,57946000.0000,-1079981000.0000,11622300000.0000,,341925000.0000,-7.660453
f2261fec0abe4eb49f2acd73878136ce,3021000000.0000,179000000.0000,859000000.0000,4000000.0000,855000000.0000,49636000000.0000,37258000000.0000,12378000000.0000,0.059252
5fb4abc78ce64bfaae6a0ce384939e8e,5393000000.0000,443000000.0000,429000000.0000,31000000.0000,398000000.0000,75252000000.0000,59355000000.0000,15890000000.0000,0.082144
99d4bc160ee046f5b209b0276420f713,24947000000.0000,2404000000.0000,3981000000.0000,556000000.0000,3425000000.0000,46650000000.0000,,1687000000.0000,0.096364
42d0b601132b489ab721a802301fcb86,26381000000.0000,2513000000.0000,4713000000.0000,681000000.0000,4032000000.0000,51515000000.0000,,-2143000000.0000,0.095258
b52e2d1947054fc2ad8f1a391ce3adc6,30463000000.0000,3506000000.0000,3926000000.0000,535000000.0000,3391000000.0000,46232000000.0000,,2009000000.0000,0.115090
706c1e48f04d4474ac1dbdd2fef42074,184018000.0000,-528902000.0000,-566543000.0000,44527000.0000,-611070000.0000,10885431000.0000,,-99430000.0000,-2.874186
54cd58ee30aa4adcb7a571e4bc6dc0de,1861178000.0000,-1724535000.0000,-1083388000.0000,213746000.0000,-1297134000.0000,10589303000.0000,,-471772000.0000,-0.926583
ffcea7519a1a46558b9e9bcccd263a6e,3681600000.0000,213800000.0000,1003800000.0000,0.0000,1003800000.0000,334491800000.0000,322363800000.0000,11665500000.0000,0.058073
145f72c73f4f4152a2db7eecdbe61ace,5110000000.0000,743000000.0000,884000000.0000,108000000.0000,776000000.0000,17470000000.0000,16418000000.0000,702000000.0000,0.145401
cf4a602c13ee4f0cb81aad74aee259dc,2852000000.0000,340000000.0000,1061000000.0000,15000000.0000,1046000000.0000,43232000000.0000,31410000000.0000,11822000000.0000,0.119215
81efce04d4bd448bb5e518c2c8fc497f,10051000000.0000,541000000.0000,785000000.0000,328000000.0000,457000000.0000,28638000000.0000,,12426000000.0000,0.053825
7d12eeae191740d1adc319df7f9bcb94,2411000000.0000,277000000.0000,620000000.0000,2000000.0000,618000000.0000,43739000000.0000,32015000000.0000,11724000000.0000,0.114890
956e2bdd2cd54ee6a52ffcc507f81012,3080000000.0000,476000000.0000,1100000000.0000,15000000.0000,1085000000.0000,44439000000.0000,32116000000.0000,12323000000.0000,0.154545
2d58eddda63c46cf8e4f4a5605fa3d90,3550000000.0000,334000000.0000,614000000.0000,312000000.0000,302000000.0000,35292000000.0000,25085000000.0000,10207000000.0000,0.094085
3ff28414fbdc49cc94bd8f6dbab22fd6,14212000000.0000,1120000000.0000,2680000000.0000,637000000.0000,2043000000.0000,36288000000.0000,26051000000.0000,10237000000.0000,0.078807
418ab05e89de4deeb5ac15aff185cfd5,3684000000.0000,378000000.0000,-62000000.0000,580000000.0000,-642000000.0000,42216000000.0000,24324000000.0000,9798000000.0000,0.102606
62006b4121b84e17943b48bd33265c64,1365693000.0000,-184784000.0000,631675000.0000,84563000.0000,547112000.0000,11861444000.0000,,859354000.0000,-0.135304
d5cc13358c1d41a78bde06ac3bb68b97,15625500000.0000,1185100000.0000,4536700000.0000,0.0000,4536700000.0000,341376500000.0000,328985200000.0000,11883900000.0000,0.075844
081d4c3a9fc34b2cba1e6e97337ec690,16856000000.0000,7875000000.0000,3000000000.0000,745000000.0000,2255000000.0000,117033000000.0000,63289000000.0000,53744000000.0000,0.467193
6357ae804f75437c90f96bb21559de36,4647000000.0000,306000000.0000,695000000.0000,1000000.0000,694000000.0000,39719000000.0000,31014000000.0000,8705000000.0000,0.065849
eca52d0af39343a399bb92c69be8819b,1056000000.0000,700000000.0000,-923000000.0000,17000000.0000,-940000000.0000,119469000000.0000,107236000000.0000,3001000000.0000,0.662879
797bb4cab9de441fbd3f8fec7951af9b,42405000000.0000,1980000000.0000,2513000000.0000,1259000000.0000,1254000000.0000,32918000000.0000,,13950000000.0000,0.046693
