id,ticker,fiscalYear,fiscalQuarter,revenue,costOfRevenue,grossProfit,grossMargin
329f5c856dd2456cbebf6232cabc949f,NI,2018,1,1717200000.0000,724400000.0000,1717200000.0000,1.000000
c96a349afb25438b91f6ee0b83b39bb8,NI,2016,4,1197000000.0000,440600000.0000,1197000000.0000,1.000000
e9746356fd7441b099194c442239ef17,NI,2018,4,1436000000.0000,501600000.0000,1436000000.0000,1.000000
3d9f5ca5b75e413688969d487957d153,NI,2018,3,855800000.0000,222000000.0000,855800000.0000,1.000000
eec1a4e62a4f4d3a94a6064929fc362c,NI,2018,,4991100000.0000,1761300000.0000,4991100000.0000,1.000000
c6941ac6a70441318e492c33b2390d37,NI,2019,1,1834500000.0000,680300000.0000,1834500000.0000,1.000000
584bfd2b8e0a43bfb2d786e701bd2b9c,NI,2019,2,969200000.0000,253500000.0000,969200000.0000,1.000000
c90dfac3ce0c455abfc5af62a0e0e2ee,NI,2019,3,891000000.0000,196700000.0000,891000000.0000,1.000000
7a8a57932ae942a1b8c9f87da1bac07b,NI,2019,,5053400000.0000,1534800000.0000,5053400000.0000,1.000000
ef62ade716ab4ee09e1a4e782e1097b8,NI,2019,4,1358700000.0000,404300000.0000,1358700000.0000,1.000000
24504ac4f4e24b82a75cfa42f022c1b6,NI,2017,,4730200000.0000,1518700000.0000,4730200000.0000,1.000000
14c320d77f6043809694ee1a93eccc5b,NI,2017,4,1257500000.0000,456000000.0000,1257500000.0000,1.000000
826763f479414a84a946b6894fa79b89,NI,2018,2,982100000.0000,313300000.0000,982100000.0000,1.000000
