id,costOfRevenue,grossProfit,grossMargin
b6ac8970d0624fd4956ec5dc3b91f5ef,15112000000.0000,8042000000.0000,0.347327
daf69cf81ace423189d9b9ca4e224f70,,,
6efd90e115b04ae69b3382f668eed74b,12700000000.0000,4234000000.0000,0.250030
83f85ce311904b2bac33f96c7fa19fa3,,1192600000.0000,1.000000
d50a12933a6e4aee9c2a752d7dfd2b60,6226000000.0000,2717000000.0000,0.303813
3b8265fdaf85412da07f941d7397a582,734000000.0000,852000000.0000,0.537201
ca01e7974a844e38a533642f918bd29d,,,
0784d4ce6b174d7bafed246de96a126f,154000000.0000,67300000.0000,0.302200
f24a744cc73645498ff50055bfcc5e2e,1980000000.0000,16596000000.0000,0.893411
1ebe5fd22284414d984694c21375547f,,,
edda845b1f954b9398fa8cd992daa252,2965300000.0000,12459600000.0000,0.807759
b474a9af10fc49ed8741ce5385befed9,99608000000.0000,3542000000.0000,0.034338
d0ddf6ff7b054dd1ab28df7d7dc04cda,524000000.0000,5239000000.0000,0.909075
46f3c88e48574b8c98a0b4866fedc677,,,
b55239ab3ce147bfb08e5481b982a501,,,
4aac0cf512844e3587b7eef46474def9,1984000000.0000,27637000000.0000,0.933020
0a23451ab70d456cbffd139f0ea9604b,2633700000.0000,2199000000.0000,0.455025
5332ab6789804e3885cfde1a1c1007ba,1147600000.0000,1366063000.0000,0.543455
6d684df47a7542d6ab10162a9a4ebb98,871676000.0000,1097382000.0000,0.557313
236d2d77a2c0405caec3e42077850753,6841211000.0000,3523201000.0000,0.339933
59040454c9b94afd86946e5fe685b594,,,
af278a71770f49ec9085bc442181690a,,16195700000.0000,1.000000
3818b94e828b47d0abdf838fa678bb6d,,1044700000.0000,
622e17009d6e49dda0adeaf40c559516,1930000000.0000,2554000000.0000,0.569581
6a9a742854f74bb7819beb75bf63f324,1907000000.0000,2548000000.0000,0.571942
3d45d173fc53499da8ed40e17eaf7480,64122000.0000,196894000.0000,0.754337
b07cee78b1d5492f8f45a175f71caaa1,2058000000.0000,2712000000.0000,0.568553
4d01fac1f646469c8f1f722501accf93,8067000000.0000,1089000000.0000,0.118938
8ea435856014486c8eb7ef00c25bc3c7,8648000000.0000,1202000000.0000,0.122030
d19f2de1a5e74eb9a7942d49acb6303b,2858700000.0000,1692600000.0000,0.371894
4304762ecef24b66bc7a30f2818362a5,26134200000.0000,8116200000.0000,0.236967
51e74d69bbb14f02b28550baa7a5fa43,289239000.0000,1110480000.0000,0.793359
1bba1978237d4671b287c566267ed00a,308968000.0000,1350051000.0000,0.813765
d74b263318074ceabe81d5936954c968,8942000000.0000,8756000000.0000,0.494745
5c4f761143564d4fbe8fefd055259309,18537000000.0000,24538000000.0000,0.569658
26c8b20cb73248a29dd21db2f0d01daf,,,
acaca1feb5cd4607a617bb2b549468e5,,3933000000.0000,0.203730
272d1f0d3ce14ebc9402d47f7f755696,577500000.0000,460100000.0000,0.443427
b8c2e745b74a4da18a38583d965d7b71,,,
1c829cf3e0ff4a9889c25b119a3e868e,,,
9eba642399534d32b203690e15d75a3b,219028000000.0000,12023000000.0000,0.052036
ac527ff9762a4d90b5015aceaa0416e0,52979000000.0000,2700000000.0000,0.048492
199f5c652a854748bc56694cfd64b5dc,8215000.0000,923650000.0000,0.991184
885e8eef64c44ee7b71280b2a4ae6fe7,,,
ea4cb81247d3487ea889894047ab4067,,,
c0f2cd2772d34db2a85af9b8eff712c1,1959000000.0000,3074000000.0000,0.610769
f424ae99f6b248edb6a67a36bb00837a,,,
7102eaac226f4d23afa4d413ed35a125,169559000000.0000,104956000000.0000,0.382332
7a41a9cb09d8473fbf1fb8242fee1048,67111000000.0000,44328000000.0000,0.397778
99ddf05679b645d1bf4ba9b069521bf7,,,
374a5bf35b3141d9a9e3ab5d700b7e36,696000000.0000,750900000.0000,0.518972
cb074d451e1e4e95bccb61077d1ace91,10631000000.0000,10258000000.0000,0.491072
f352e920adac492ebd738916593b0483,2038000000.0000,2877000000.0000,0.585351
27a4ee7c36194008b5f9116d7bc2f9dc,,,
a21e7a7173d64744b43b22c260cab2c9,37668000000.0000,10518000000.0000,0.218406
0ac5ab87f23d4acaae7e041dca451ae4,,,
5b99f0df51df46f5a24a5ecacd86c2a0,,,
b8dd8cd2c4974423896e6e830078a89a,,,
4558b0b65100408eaa7242f6d62f3f3b,,,
2d810f0ee16d4f3f9472b51ec3af14d4,1992000000.0000,3066000000.0000,0.606168
4dff56fffbd147dca3731e41fa4a8498,,,
e58607301532412ea9d3e321f659f72c,1374700000.0000,1833800000.0000,0.571544
f8c8547e73844f27b146abec543f3278,2738000000.0000,2051000000.0000,0.428273
975e236b03134c8a8d655bd1b9aa02c1,1770900000.0000,1652800000.0000,0.482753
