id,revenue,grossProfit,operatingIncome,netIncome,epsDiluted,grossMargin,operatingMargin,netMargin
b6ac8970d0624fd4956ec5dc3b91f5ef,23154000000.0000,8042000000.0000,3320000000.0000,1969000000.0000,1.6000,0.347327,0.143388,0.085039
daf69cf81ace423189d9b9ca4e224f70,2601855000.0000,,-90378000.0000,-147887000.0000,,,-0.034736,-0.056839
852cb5ed28ff4bc0b420509fa6849dae,5009000000.0000,,530000000.0000,420000000.0000,1.1600,,0.105810,0.083849
6efd90e115b04ae69b3382f668eed74b,16934000000.0000,4234000000.0000,2464000000.0000,2259000000.0000,0.6500,0.250030,0.145506,0.133400
83f85ce311904b2bac33f96c7fa19fa3,1192600000.0000,1192600000.0000,257900000.0000,212000000.0000,0.5200,1.000000,0.216250,0.177763
b474a9af10fc49ed8741ce5385befed9,103150000000.0000,3542000000.0000,1407000000.0000,1110000000.0000,,0.034338,0.013640,0.010761
d50a12933a6e4aee9c2a752d7dfd2b60,8943000000.0000,2717000000.0000,1056000000.0000,1852000000.0000,1.7000,0.303813,0.118081,0.207089
caa9e008e88b478d88e3a13d49ecb53c,5409000000.0000,,818000000.0000,667000000.0000,1.8700,,0.151229,0.123313
3b8265fdaf85412da07f941d7397a582,1586000000.0000,852000000.0000,336000000.0000,264000000.0000,0.8600,0.537201,0.211854,0.166456
ca01e7974a844e38a533642f918bd29d,4324000000.0000,,1660000000.0000,1356000000.0000,2.7200,,0.383904,0.313599
0784d4ce6b174d7bafed246de96a126f,222700000.0000,67300000.0000,3900000.0000,-54900000.0000,-0.9059,0.302200,0.017512,-0.246520
f24a744cc73645498ff50055bfcc5e2e,18576000000.0000,16596000000.0000,6012000000.0000,4710000000.0000,1.8700,0.893411,0.323643,0.253553
1ebe5fd22284414d984694c21375547f,11365000000.0000,,1986000000.0000,1693000000.0000,2.0300,,0.174747,0.148966
edda845b1f954b9398fa8cd992daa252,15424900000.0000,12459600000.0000,3525000000.0000,1928900000.0000,3.8800,0.807759,0.228527,0.125051
5b4af2d0bdc94b1d8c8eed279a749a2c,12168000000.0000,,1430000000.0000,1169000000.0000,5.3702,,0.117521,0.096072
46f3c88e48574b8c98a0b4866fedc677,3711900000.0000,,1053738000.0000,764244000.0000,0.9800,,0.283881,0.205890
0cf4ffe43be54b2591d417936157d930,3080000000.0000,,368000000.0000,275000000.0000,1.2085,,0.119481,0.089286
b55239ab3ce147bfb08e5481b982a501,15814000000.0000,,2374000000.0000,1462000000.0000,7.0300,,0.150120,0.092450
4aac0cf512844e3587b7eef46474def9,29621000000.0000,27637000000.0000,2194000000.0000,1523000000.0000,5.9400,0.933020,0.074069,0.051416
0a23451ab70d456cbffd139f0ea9604b,4832700000.0000,2199000000.0000,,956300000.0000,2.3400,0.455025,,0.197881
5332ab6789804e3885cfde1a1c1007ba,2513663000.0000,1366063000.0000,407938000.0000,299282000.0000,12.3900,0.543455,0.162288,0.119062
6d684df47a7542d6ab10162a9a4ebb98,1969058000.0000,1097382000.0000,413028000.0000,263144000.0000,,0.557313,0.209759,0.133640
236d2d77a2c0405caec3e42077850753,10364412000.0000,3523201000.0000,,2250418000.0000,7.9700,0.339933,,0.217129
59040454c9b94afd86946e5fe685b594,3661000000.0000,,,327000000.0000,1.2567,,,0.089320
