id,ticker,periodType,periodEnd,revenue,revenueSegments,revenueSegmentsByAxis
2d2c30d759874975a2abb0cde8a8c3f5,HBAN,QUARTERLY,2024-09-30,2555000000.0000,"{""Commercial Banking"": 81000000.0, ""Consumer & Regional Banking"": 283000000.0}","{""product"": {""Leasing revenue"": 10000000.0, ""Insurance income"": 17000000.0, ""Other noninterest income"": 4000000.0, ""Customer deposit and loan fees"": 58000000.0, ""Capital markets and advisory fees"": 37000000.0, ""Wealth and asset management revenue"": 93000000.0, ""Payments and cash management revenue"": 143000000.0}, ""segment"": {""Commercial Banking"": 81000000.0, ""Consumer & Regional Banking"": 283000000.0}}"
d8d0c4ca56bd47e092fcfb900d79054a,NTRS,QUARTERLY,2024-06-30,2715500000.0000,"{""ASSET SERVICING"": 650600000.0, ""WEALTH MANAGEMENT"": 515500000.0}","{""segment"": {""ASSET SERVICING"": 650600000.0, ""WEALTH MANAGEMENT"": 515500000.0}}"
f2d9981e511b418f8b11f37ebc387d92,MET,QUARTERLY,2020-09-30,16015000000.0000,"{""Prepaid legal plans"": 100000000.0, ""Fee-based investment management"": 82000000.0, ""Administrative services-only contracts"": 54000000.0, ""Vision fee for service arrangements (1)"": 0.0, ""Recordkeeping and administrative services (2)"": 50000000.0, ""Other revenue from service contracts from customers"": 45000000.0}","{""product"": {""Prepaid legal plans"": 100000000.0, ""Fee-based investment management"": 82000000.0, ""Administrative services-only contracts"": 54000000.0, ""Vision fee for service arrangements (1)"": 0.0, ""Recordkeeping and administrative services (2)"": 50000000.0, ""Other revenue from service contracts from customers"": 45000000.0}}"
c39b149ee3a649a8890db18ff85e6c84,IBKR,QUARTERLY,2021-06-30,754000000.0000,"{""Others"": 10000000.0, ""Commissions"": 307000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 7000000.0, ""Minimum Activity Fees"": 9000000.0, ""Payments For Order Flow"": 9000000.0}","{""product"": {""Others"": 10000000.0, ""Commissions"": 307000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 7000000.0, ""Minimum Activity Fees"": 9000000.0, ""Payments For Order Flow"": 9000000.0}, ""geography"": {""International"": 189000000.0, ""United States"": 565000000.0}}"
cb512e2c39e1466fb22e506dc00287d5,IBKR,QUARTERLY,2024-06-30,1230000000.0000,"{""Others"": 9000000.0, ""Commissions"": 406000000.0, ""FDIC Sweep Fees"": 7000000.0, ""Market Data Fees"": 18000000.0, ""Risk Exposure Fees"": 24000000.0, ""Payments For Order Flow"": 10000000.0}","{""product"": {""Others"": 9000000.0, ""Commissions"": 406000000.0, ""FDIC Sweep Fees"": 7000000.0, ""Market Data Fees"": 18000000.0, ""Risk Exposure Fees"": 24000000.0, ""Payments For Order Flow"": 10000000.0}, ""geography"": {""International"": 394000000.0, ""United States"": 836000000.0}}"
f8c461847e554770a3ca835f99a4da2a,IBKR,QUARTERLY,2025-09-30,1655000000.0000,"{""Others"": 10000000.0, ""Commissions"": 537000000.0, ""FDIC Sweep Fees"": 10000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 14000000.0, ""Payments For Order Flow"": 12000000.0}","{""product"": {""Others"": 10000000.0, ""Commissions"": 537000000.0, ""FDIC Sweep Fees"": 10000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 14000000.0, ""Payments For Order Flow"": 12000000.0}, ""geography"": {""International"": 469000000.0, ""United States"": 1186000000.0}}"
3532c4845fa34662bb097f7bc0f0d25a,MET,QUARTERLY,2019-03-31,16302000000.0000,"{""Prepaid legal plans"": 86000000.0, ""Fee-based investment management"": 77000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 50000000.0, ""Other revenue from service contracts from customers"": 71000000.0}","{""product"": {""Prepaid legal plans"": 86000000.0, ""Fee-based investment management"": 77000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 50000000.0, ""Other revenue from service contracts from customers"": 71000000.0}}"
aa053b9280444fe48b306f830ee3b49b,DTE,QUARTERLY,2018-06-30,3159000000.0000,"{""Gas"": 255000000.0, ""Electric"": 1276000000.0}","{""segment"": {""Gas"": 255000000.0, ""Electric"": 1276000000.0}}"
1426cf04658042029e543e42d98fae45,DTE,ANNUAL,2021-12-31,14964000000.0000,"{""Gas"": 1553000000.0, ""Electric"": 5809000000.0, ""DTE Vantage"": 0.0, ""Energy Trading"": 0.0, ""Corporate and Other"": 0.0}","{""segment"": {""Gas"": 1553000000.0, ""Electric"": 5809000000.0, ""DTE Vantage"": 0.0, ""Energy Trading"": 0.0, ""Corporate and Other"": 0.0}}"
89c77de1b2cd4473b991eab233c36d60,PRU,QUARTERLY,2018-06-30,14655000000.0000,"{""Other fees"": 149000000.0, ""Asset-based management fees"": 855000000.0, ""Performance-based incentive fees"": 6000000.0}","{""product"": {""Other fees"": 149000000.0, ""Asset-based management fees"": 855000000.0, ""Performance-based incentive fees"": 6000000.0}}"
