id,ticker,fiscalYear,fiscalQuarter,sharesOutstanding,epsDiluted
1e021b3ca0ad4905b7599a514f4a7672,ECHO,2024,1,271519.0000,-395.4640
025619c6852341b1a60192440adf0375,BKR,2017,2,100.0000,0.0000
a633414a5f044fe9bc7cd8c80b6930bb,ROL,2016,2,491483.2500,97.2220
c7a1e03ca970423c94cee940111e01bc,VTRS,2020,2,100.0000,-9000.0000
2e46f9b06de04ffd8c9d7394b2015073,VTRS,2019,3,100.0000,0.0000
1cb8a7bbdbe249d38bec3d702aa1c09a,DDOG,2019,3,103876.0000,-40.0574
014a4b432958456e9e2de5f9de0b68cb,DLR,2022,1,285025.0000,257.1038
1b638f643c104393a509852ec9a6aa7f,PSKY,2025,2,1000.0000,0.0000
918f56b43050488fa025c4ef1736aa6f,VTRS,2020,3,100.0000,
9aa7f2129a1d4deeba46a37c260b98a5,VTRS,2019,2,100.0000,0.0000
175a989022da4cd5a320bd55d0d00c39,VTRS,2020,1,100.0000,0.0000
