id,sharesOutstanding,epsDiluted
b6ac8970d0624fd4956ec5dc3b91f5ef,1229000000.0000,1.6000
daf69cf81ace423189d9b9ca4e224f70,210326738.0000,
6efd90e115b04ae69b3382f668eed74b,3464000000.0000,0.6500
83f85ce311904b2bac33f96c7fa19fa3,408000000.0000,0.5200
b474a9af10fc49ed8741ce5385befed9,124400000.0000,
d50a12933a6e4aee9c2a752d7dfd2b60,1093000000.0000,1.7000
3b8265fdaf85412da07f941d7397a582,306000000.0000,0.8600
ca01e7974a844e38a533642f918bd29d,472000000.0000,2.7200
0784d4ce6b174d7bafed246de96a126f,60600000.0000,-0.9059
f24a744cc73645498ff50055bfcc5e2e,2342400000.0000,1.8700
1ebe5fd22284414d984694c21375547f,830000000.0000,2.0300
edda845b1f954b9398fa8cd992daa252,492611067.0000,3.8800
d0ddf6ff7b054dd1ab28df7d7dc04cda,418000000.0000,1.7900
46f3c88e48574b8c98a0b4866fedc677,782401237.0000,0.9800
b55239ab3ce147bfb08e5481b982a501,207000000.0000,7.0300
4aac0cf512844e3587b7eef46474def9,256400000.0000,5.9400
0a23451ab70d456cbffd139f0ea9604b,409500000.0000,2.3400
5332ab6789804e3885cfde1a1c1007ba,24160000.0000,12.3900
6d684df47a7542d6ab10162a9a4ebb98,89567000.0000,
236d2d77a2c0405caec3e42077850753,293390000.0000,7.9700
59040454c9b94afd86946e5fe685b594,260200000.0000,1.2567
af278a71770f49ec9085bc442181690a,493758277.0000,3.9000
3818b94e828b47d0abdf838fa678bb6d,252600000.0000,0.7900
622e17009d6e49dda0adeaf40c559516,839400000.0000,0.7200
6a9a742854f74bb7819beb75bf63f324,838500000.0000,0.7400
3d45d173fc53499da8ed40e17eaf7480,125948076.0000,0.6500
b07cee78b1d5492f8f45a175f71caaa1,833000000.0000,0.4500
4d01fac1f646469c8f1f722501accf93,390000000.0000,1.0026
8ea435856014486c8eb7ef00c25bc3c7,370000000.0000,1.2100
d19f2de1a5e74eb9a7942d49acb6303b,277200000.0000,1.0400
4304762ecef24b66bc7a30f2818362a5,309900000.0000,11.5700
51e74d69bbb14f02b28550baa7a5fa43,366301000.0000,0.8600
1bba1978237d4671b287c566267ed00a,383266000.0000,0.5900
d74b263318074ceabe81d5936954c968,2625800000.0000,1.0700
5c4f761143564d4fbe8fefd055259309,1789000000.0000,3.9400
26c8b20cb73248a29dd21db2f0d01daf,579000000.0000,-1.5700
acaca1feb5cd4607a617bb2b549468e5,1337300000.0000,1.2800
272d1f0d3ce14ebc9402d47f7f755696,251100000.0000,0.5800
b8c2e745b74a4da18a38583d965d7b71,582800000.0000,
1c829cf3e0ff4a9889c25b119a3e868e,582700000.0000,-0.6367
9eba642399534d32b203690e15d75a3b,181600000.0000,
ac527ff9762a4d90b5015aceaa0416e0,163200000.0000,
199f5c652a854748bc56694cfd64b5dc,1015776697.0000,0.7362
885e8eef64c44ee7b71280b2a4ae6fe7,230685464.0000,-6.2600
ea4cb81247d3487ea889894047ab4067,492381190.0000,-0.8591
c0f2cd2772d34db2a85af9b8eff712c1,822500000.0000,0.9000
f424ae99f6b248edb6a67a36bb00837a,208601733.0000,0.1300
7102eaac226f4d23afa4d413ed35a125,17528214000.0000,3.2800
7a41a9cb09d8473fbf1fb8242fee1048,17113688000.0000,1.6800
99ddf05679b645d1bf4ba9b069521bf7,586700000.0000,-0.3900
374a5bf35b3141d9a9e3ab5d700b7e36,848000000.0000,-0.2000
cb074d451e1e4e95bccb61077d1ace91,2454400000.0000,1.4733
f352e920adac492ebd738916593b0483,827300000.0000,0.8600
27a4ee7c36194008b5f9116d7bc2f9dc,587900000.0000,-0.6753
a21e7a7173d64744b43b22c260cab2c9,124675200.0000,31.7117
0ac5ab87f23d4acaae7e041dca451ae4,,-0.2400
5b99f0df51df46f5a24a5ecacd86c2a0,215105119.0000,0.2400
b8dd8cd2c4974423896e6e830078a89a,208000000.0000,1.1900
4558b0b65100408eaa7242f6d62f3f3b,204067825.0000,
2d810f0ee16d4f3f9472b51ec3af14d4,823700000.0000,0.8900
4dff56fffbd147dca3731e41fa4a8498,206000000.0000,2.0340
e58607301532412ea9d3e321f659f72c,276000000.0000,1.8700
f8c8547e73844f27b146abec543f3278,364200000.0000,1.6000
975e236b03134c8a8d655bd1b9aa02c1,271900000.0000,1.3200
b984d20067a746abba9d86f2264a45ff,272900000.0000,1.2510
c3f6eae2ab4a47bab8c9203a41248c44,244300000.0000,5.1000
cb91b80223d64317a34a1e5a03c7b469,244600000.0000,2.5500
c5e103b4d82d4ec89d9804fb2621fb1b,370000000.0000,1.0649
505e91c8bddb48108f0fa4e745e0ea07,369000000.0000,8.0400
938553cb990f4747b3aba3b8849eba4e,231556866.0000,-1.0044
c14c5c9f57ba4134b78e3bf712767a7d,192480750.0000,4.5714
af7e2785e76345a3bbac5e9326f0e57a,1143000000.0000,9.7300
e59d5dd9ab044a9499a756240c08fcce,223132186.0000,0.5300
5cc5fe58251e482fb5f410853f818729,815000000.0000,0.8500
80fa6a850d4c481cbbc1e9c2c7491259,593400000.0000,0.5600
a9fbde7ab4b349d99097c5a302635e66,590800000.0000,0.0600
87eb1425b0c448128f3389bf3ca32860,278300000.0000,0.3500
bee80b4adfac4d7fb1f5b529a4632b97,145652000.0000,1.2210
36581778b9d645e2b010cb0889c04d9e,2544200000.0000,1.6600
c87a6e6f89a74cf1ad3e962ebbf400da,1034000000.0000,4.0900
9d8ff20e033d4788ae50161f73c473d6,1025000000.0000,5.0500
cb4919769003456ba61bab953fd4d82e,193567500.0000,6.7937
10b489bd0ff4488c8daf1648e4ebaaa1,2530200000.0000,1.3300
f33277f172b34b82b631cf6f1d45ce60,158869000.0000,1.7400
7a7a271efc3a41daabcc35ef74b54ce8,1060000000.0000,0.2100
c0b1243557d34c6f872de9dec2ec6768,1919600000.0000,1.9600
ddce881e96cb48b8a060d392a9a2b156,2698500000.0000,-7.3800
50eeaa57b4f041b0a52c186a660be929,1063000000.0000,0.1000
900229fbbbd448858477713999abe755,214000000.0000,
420d743bb9eb4f40ac47c5ad87b84196,2099000000.0000,1.9200
87477e0e17f048558d9abeec8d83973e,974000000.0000,2.3400
3681d38ece9946f792a227d0976e0a32,968000000.0000,2.5800
8407ccb9fc8b4cdab7db1627d42fb1a5,971000000.0000,10.2200
89bcf06619e846c7b0924381797a450d,1331087000.0000,3.3600
7887ed81af8d41b4a49d0220f9d5a9fd,876269924.0000,4.4100
77356f2dab7642969851d3fd10536a75,479000000.0000,-3.3756
99d4bc160ee046f5b209b0276420f713,1158000000.0000,2.0800
42d0b601132b489ab721a802301fcb86,1106000000.0000,2.2700
b52e2d1947054fc2ad8f1a391ce3adc6,1149000000.0000,3.0500
77d8a4c7ff6e4fb9af05796b69465a30,214000000.0000,
d8b84dfd8649457898cfd1ca24a5374c,220300000.0000,1.9300
86d16d037ae9420e9c5938c5eb862ffb,1331087000.0000,0.9586
dd33ac8e443d4a148926be2c83c67792,1065000000.0000,0.1200
f594fc9f3ecc4b9b9b45dc9c4eab7022,129416000.0000,2.6200
0e66e6f5014847139f9158a233079770,736000000.0000,1.2400
fbde8e29f52c48b8be357d6ce7eaa65a,735000000.0000,-1.1300
884f00a940fa41bfa340bc1130e0802c,2698500000.0000,-2.9800
62006b4121b84e17943b48bd33265c64,,
d5cc13358c1d41a78bde06ac3bb68b97,225700000.0000,5.2500
28f8e5eb3bc8426aaba2de9a3f4b1e94,2532300000.0000,1.6300
bbaa31cccc924dafa866fe5989d348e0,935000000.0000,3.2200
c1fc48ae8ffc4531900a81a71c841cbd,89600000.0000,1.4000
9c17c3793acc4e8097d94e3ffeeaa314,2471900000.0000,1.2687
2b87cb36ad3d4d3fa9fa8a165e53e3c8,1902977000.0000,2.2700
becb2ebafbe2477e8c0c50216967ab7a,758548248.0000,0.7900
12c3a3c28e4a4fd4b6ef7654e5ded9eb,2099000000.0000,4.7200
1f542245d0854333bc1f3270551e66de,930000000.0000,3.5000
ec348f202c9f4aed8f69ef01c714fe02,1957109000.0000,5.9500
6681eebc570a46bc94157e43bcfc341b,358000000.0000,0.8800
e8d359dc146441c78cff7d5227b91b96,742500000.0000,-1.8400
da4f348db5164e4db4abeee064e515d0,243634764.0000,0.6600
74a4d58311de4230a42f214e2ca541bd,2230000000.0000,0.2500
163cdf24ce274ceeb6fb4c6aee0e1ec8,3150561797.7528,0.8900
b691dba29278436ea0a46f1b8e6d6a09,284000000.0000,-1.5845
1777180fddee4d51b51567adc3402bd9,838300000.0000,0.6400
482d601115b74f4abd45f7e2c885ca2f,747200000.0000,1.3600
493de953679f4c3197b04605b635f80c,771000000.0000,1.4400
ef4f45179b1340ffa65876e83a2b35ca,909000000.0000,4.0700
b223c84326bf4b558e3e3fbdfc8aca1f,73302000.0000,3.1800
30749ecf02bc47b78c9ab5bd5a50afa5,905000000.0000,4.3400
f6959073151e470ca83b69392351f9c0,356000000.0000,1.0028
0174f664cd0148b78d52ee7b7016be5b,54532000.0000,0.2400
27cb544908cb46b5bd12ae4d0efea361,576000000.0000,0.8100
660e536b8bd94433a22ae35e67a0312a,153977000.0000,0.9600
34b0de77493a42e78ca0d7483210fc72,906000000.0000,16.5200
33ecb4d8e9304c539fab0ed43c2ce65f,2481200000.0000,1.5900
bc7d841e47ed4541ab343e0e3e5072c2,2473200000.0000,1.3700
d81c46ecfe60496ab40123680bb8fb85,747900000.0000,0.1000
48909047d990404f9ce02f88c706d60d,59751000.0000,0.1100
6e10235686db491a824b9597f691adb4,357000000.0000,0.1317
7cd07c6b0cad467e80280b72d05d7800,135464000.0000,3.3400
d595de3eb3304ad6829d6e9bc1afbac1,95834000.0000,0.7106
15c005fb70f14fe4b960a0d062728468,243000000.0000,1.5000
49072044a7664e4e8e4b82d2ad879360,115583000.0000,1.6752
1185556c463147ee9da5afc8eba157a4,153812000.0000,2.0000
fcde1fc5bda84bb68e2168d2316f088c,137229000.0000,0.3900
0cdee1fffc4f470582c4d5062cd717d5,275215000.0000,1.0200
8ca480a6e6824b98bcd4b54334d8f27d,77709000.0000,1.3700
9bd32c3dc0c740808e6329239e0cb357,113853000.0000,0.5200
966f41d5365b40d09e125634d470aaae,287700000.0000,3.4400
5da89bbc8aee4b9797017a32f6f29243,76570000.0000,1.2600
a5e1f1f2ec57444797c8b5eb4948113a,3345098039.2157,1.0200
60b1997e1a4c4fd9907c6df94fd16481,244400000.0000,1.5600
10cf821f7b924259bb72e5ae18c55a12,245100000.0000,1.3700
600da98f633b4d89be2c4237c9a2baac,116645000.0000,1.3758
6bdd69cf5d464db9b24ab606f0a389bb,370000000.0000,2.1400
d43483df574f45178a02342d0066ed51,137237000.0000,0.5000
bfc562c85e914873b9b74966214b91c3,113910000.0000,0.4600
19244b5fef3f464d95ad54ea72a848ab,405198436.0000,1.5622
2c3fa992ce2f45acbd71ef1fceb42bed,430900000.0000,3.1400
345e9cf09f1b412190aa48072be0dae7,1266572000.0000,1.0900
b15a9ca68e4f441582f903e317369647,114113000.0000,3.0700
0e0b43480385469faa289253da56e363,2733495145.6311,2.0600
3239f58daa894740a7d2dae62f95a1be,360100000.0000,3.1700
653a32190ef0411690775515367a1b65,564886000.0000,0.3580
f46eaf5aa2864109b351281f986b45de,117149000.0000,3.7800
e4a7d705ffea49358ef389c23a6cc7e1,354200000.0000,0.8950
86e92c63857b4ba4b4dc96ffb1db2eaa,488800000.0000,0.4200
629ca5b62df543b1a17d070772ffec66,488600000.0000,1.7200
d7006c51e4c1486da595da21cabf9084,325800000.0000,2.0657
d5d24204fe9142288c2d867d75d72775,302900000.0000,2.7996
f43f66509e5a411e8552e138c3e55b62,111423000.0000,2.6400
d33122ed16c446e19a7ed577263c4fec,853000000.0000,0.6905
3e8d3c79af124dde9d9aa9db61a3cb04,2630100000.0000,1.4100
db047eed26c84cb09f17913ad12809ee,487800000.0000,2.6600
9b4ac77923604181b60b73a50120ad6b,73222000.0000,0.8028
46e26a258f5c408085e91623383daa26,195000000.0000,0.9500
33de62c345184581bdfd706957af527e,482300000.0000,0.4900
2d2c30d759874975a2abb0cde8a8c3f5,1476982000.0000,0.3300
1078980b211743ddb91164e95b6cc7dd,560000000.0000,2.8800
8314b3bc68ff456cac9ac6bad02cbda9,8223400000.0000,1.5600
8f1ef1fe3883401fab07632b1909d88e,330000000.0000,1.1400
25483b3fb4ec4067b76e86bf588c9a49,238200000.0000,2.2300
218c3fb6daaa435296b4e7f91442a435,573500000.0000,0.0872
8cdfaebb9e3941ada2aead84b1d96389,480000000.0000,0.6400
9dceb95b5692462a8c164ed169755660,480000000.0000,0.7200
ada99d5a14c5434e9054be816be57fe3,673000000.0000,1.2400
34897b5d6640423c86f12be0955a377e,798511200.0000,0.7181
cd6398782ca04ac2909b75d1204c91cd,474000000.0000,-6.4400
4a116c6c8e734dedaa7a70ede2ff4a7c,639000000.0000,1.0700
aa676f468fac45c0a503779bbbdbd951,277700000.0000,2.3900
